0;#;FORM;LEMMA;POS;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;RIGHTLEMMA;AUTO_LEMMA;AUTO_POS;AUTO_GRAM
46888;;эти;ЭТОТ;PRO;- acc pl plen - inan;;;я ходила сдавать эти нудные экзамены ,;и;т;э;;;;Т;ЭТОТ;A;- acc pl plen - inan
46941;;нервный;НЕРВНЫЙ;A;- nom sg plen m -;;;У меня случился нервный срыв , я;й;ы;н;в;р;е;Й;НЕРВНЫЙ;A;- nom sg plen m -
46530;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46531;;и;И;CONJ;CONJ;;;все такое , и надо было выбрать;и;;;;;;И;И;CONJ;CONJ
46532;;надо;НАДО;PRAEDIC;-;;;такое , и надо было выбрать ,;о;д;а;н;;;О;НАДО;ADV;-
47006;;негативные;НЕГАТИВНЫЙ;A;- nom pl plen - -;;; все те негативные эмоции , которые;е;ы;н;в;и;т;Й;НЕГАТИВНЫЙ;A;- nom pl plen - -
47090;;Высшая;ВЫСШИЙ;A;supr nom sg plen f -;;;, значит  Высшая Школа Экономики ;я;а;ш;с;ы;В;Й;ВЫСШИЙ;A;supr nom sg plen f -
46535;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46536;;и;И;CONJ;CONJ;;;было выбрать , и я решила ,;и;;;;;;И;И;CONJ;CONJ
47113;;всякие;ВСЯКИЙ;A;- acc pl plen - inan;;;десять баллов за всякие дополнительные  вещи;е;и;к;я;с;в;Й;ВСЯКИЙ;A;- acc pl plen - inan
47114;;дополнительные;ДОПОЛНИТЕЛЬНЫЙ;A;- acc pl plen - inan;;;баллов за всякие дополнительные  вещи ;е;ы;н;ь;л;е;Й;ДОПОЛНИТЕЛЬНЫЙ;A;- acc pl plen - inan
46539;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
47005;;те;ТОТ;PRO;- nom pl plen - -;;;выпустила  все те негативные эмоции ,;е;т;;;;;Т;ТОТ;A;- nom pl plen - -
47121;;золотая;ЗОЛОТОЙ;A;- nom sg plen f -;;;, типа : золотая медаль , золотая;я;а;т;о;л;о;Й;ЗОЛОТОЙ;A;- nom sg plen f -
47009;;которые;КОТОРЫЙ;APRO;- nom pl plen - -;;;негативные эмоции , которые во мне так;е;ы;р;о;т;о;Й;КОТОРЫЙ;A;- nom pl plen - -
47124;;золотая;ЗОЛОТОЙ;A;- nom sg plen f -;;;золотая медаль , золотая медаль ГТО ,;я;а;т;о;л;о;Й;ЗОЛОТОЙ;A;- nom sg plen f -
46544;;.;.;PUNCT;SENT;;;хочу помогать людям .  Потом такая;.;;;;;;.;.;SENT;SENT
46545;;;;;;;;;;;;;;;;;;
46546;;Потом;ПОТОМ;ADVPRO;-;;;"людям .  Потом такая 	 Хм";м;о;т;о;П;;М;ПОТОМ;ADV;-
46547;;такая;ТАКОЙ;APRO;- nom sg plen f -;;;".  Потом такая 	 Хм ,";я;а;к;а;т;;Й;ТАКОЙ;A;- nom sg plen f -
46548;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
46549;;Хм;ХМ;INTJ;INTJ;;;"Потом такая 	 Хм , у меня";м;Х;;;;;М;ХМ;INTJ;INTJ
46550;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46551;;у;У;PR;PR;;;"	 Хм , у меня боязнь крови";у;;;;;;У;У;PR;PR
47165;;должны;ДОЛЖНЫЙ;A;- - pl brev - -;;;а третьего августа должны были повесить списки;ы;н;ж;л;о;д;Й;ДОЛЖНЫЙ;A;- - pl brev - -
47208;;прошла;ПРОШЛЫЙ;A;- - sg brev f -;;;", но я прошла . : 	";а;л;ш;о;р;п;Й;ПРОШЛЫЙ;A;- - sg brev f -
47234;;самостоятельная;САМОСТОЯТЕЛЬНЫЙ;A;- nom sg plen f -;;;якобы начиналась моя самостоятельная жизнь , там;я;а;н;ь;л;е;Й;САМОСТОЯТЕЛЬНЫЙ;A;- nom sg plen f -
46555;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46556;;значит;ЗНАЧИТ;PARENTH;-;;;боязнь крови , значит  на медика;т;и;ч;а;н;з;Т;ЗНАЧИТ;ADV;-
46557;"<distinct form=""в медика"">";;;;;;;;;;;;;;;;;
46558;;на;НА;PR;PR;;;", значит  на медика  	";а;н;;;;;А;НА;PR;PR
47263;;прозаичнее;ПРОЗАИЧНЫЙ;A;comp - - plen - -;;;деле все куда прозаичнее потому , что;е;е;н;ч;и;а;Й;ПРОЗАИЧНЫЙ;A;comp - - plen - -
46560;</distinct>;;;;;;;;;;;;;;;;;
46561;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
46562;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46563;;эээ;ЭЭЭ;NONLEX;NONLEX;;;" 	 , эээ , 	 значит";э;э;э;;;;Э;ЭЭЭ;NONLEX;NONLEX
46564;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46565;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
46566;;значит;ЗНАЧИТ;PARENTH;-;;;"эээ , 	 значит пойду психологом ,";т;и;ч;а;н;з;Т;ЗНАЧИТ;ADV;-
47294;;должен;ДОЛЖНЫЙ;A;- - sg brev m -;;;я после пар должен поехать в общежитие;н;е;ж;л;о;д;Й;ДОЛЖНЫЙ;A;- - sg brev m -
47334;;свободен;СВОБОДНЫЙ;A;- - sg brev m -;;;в девять ты свободен от всяких вот;н;е;д;о;б;о;Й;СВОБОДНЫЙ;A;- - sg brev m -
46569;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
47336;;всяких;ВСЯКИЙ;A;- gen pl plen - -;;;ты свободен от всяких вот этих вот;х;и;к;я;с;в;Й;ВСЯКИЙ;A;- gen pl plen - -
46571;;".	.";".	.";PUNCT;;;;;.;"	";.;;;;.;_;;0
46572;;:;:;PUNCT;;;;;:;;;;;;:;:;:;:
46573;;"	";;;;;;;;;;;;;;;;
46574;"<distinct form=""Началаа"">";;;;;;;;;;;;;;;;;
47352;;домашняя;ДОМАШНИЙ;A;- nom sg plen f -;;;« клёво , домашняя работа  »;я;я;н;ш;а;м;Й;ДОМАШНИЙ;A;- nom sg plen f -
46576;</distinct>;;;;;;;;;;;;;;;;;
46577;"<distinct form=""гуглить"">";;;;;;;;;;;;;;;;;
46578;;google;GOOGLE;NONLEX;NONLEX;;;Начала   google ( искать );e;l;g;o;o;g;E;GOOGLE;NONLEX;NONLEX
46579;;(;(;PUNCT;;;;;(;;;;;;(;(;_;_
47400;;готовой;ГОТОВЫЙ;A;- gen sg plen f -;;;, быть всегда готовой , и это;й;о;в;о;т;о;Й;ГОТОВЫЙ;A;- gen sg plen f -
46581;;););PUNCT;;;;;);;;;;;););_;_
46582;</distinct>;;;;;;;;;;;;;;;;;
46583;;куда;КУДА;ADVPRO;-;;;искать )  куда можно поступить ,;а;д;у;к;;;А;КУДА;ADV;-
46584;;можно;МОЖНО;PRAEDIC;-;;;)  куда можно поступить , что;о;н;ж;о;м;;О;МОЖНО;ADV;-
47188;;этих;ЭТОТ;PRO; acc pl plen - -;;;, что ждала этих списков , ээ;х;и;т;э;;;Т;ЭТОТ;A;- gen pl plen - -
46586;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46587;;что;ЧТО;CONJ;CONJ;;;можно поступить , что для этого надо;о;т;ч;;;;О;ЧТО;CONJ;CONJ
46588;;для;ДЛЯ;PR;PR;;;поступить , что для этого надо сдать;я;л;д;;;;Я;ДЛЯ;PR;PR
47407;;бесконечную;БЕСКОНЕЧНЫЙ;A;- acc sg plen f -;;;превратилось просто в бесконечную жизнь , бесконечную;ю;у;н;ч;е;н;Й;БЕСКОНЕЧНЫЙ;A;- acc sg plen f -
46590;;надо;НАДО;PRAEDIC;-;;;что для этого надо сдать , и;о;д;а;н;;;О;НАДО;ADV;-
47229;;этого;ЭТОТ;PRO;gen sg plen m anim;;;, что с этого момента якобы начиналась;о;г;о;т;э;;Т;ЭТОТ;A;- acc sg plen m anim
46592;"<distinct form=""иии"">";;;;;;;;;;;;;;;;;
46593;;,;,;PUNCT;;;;;,;;;;;;,;,;,;
46594;;и;И;CONJ;CONJ;;;надо сдать , и  до 11;и;;;;;;И;И;CONJ;CONJ
46595;</distinct>;;;;;;;;;;;;;;;;;
46596;;до;ДО;PR;PR;;;, и  до 11 класса была;о;д;;;;;О;ДО;PR;PR
47410;;бесконечную;БЕСКОНЕЧНЫЙ;A;- acc sg plen f -;;;бесконечную жизнь , бесконечную дорогу от общежития;ю;у;н;ч;е;н;Й;БЕСКОНЕЧНЫЙ;A;- acc sg plen f -
47482;;обязательно;ОБЯЗАТЕЛЬНЫЙ;A;- - sg brev n -;;;Ну , не обязательно прям  вообще;о;н;ь;л;е;т;Й;ОБЯЗАТЕЛЬНЫЙ;A;- - sg brev n -
47275;;равно;РАВНЫЙ;PR;- - sg brev n -;;;, ты всё равно от них зависишь;о;н;в;а;р;;Й;РАВНЫЙ;A;- - sg brev n -
47483;;прям;ПРЯМОЙ;ADV;- - sg brev m -;;;, не обязательно прям  вообще ;м;я;р;п;;;Й;ПРЯМОЙ;A;- - sg brev m -
46601;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46602;;что;ЧТО;CONJ;CONJ;;;была уверена , что мне надо будет;о;т;ч;;;;О;ЧТО;CONJ;CONJ
47542;;который;КОТОРЫЙ;A;- nom sg plen m -;;;я такой человек который в постоянной учебе;й;ы;р;о;т;о;Й;КОТОРЫЙ;A;- nom sg plen m -
46604;;надо;НАДО;PRAEDIC;-;;;, что мне надо будет общество сдавать;о;д;а;н;;;О;НАДО;ADV;-
47544;;постоянной;ПОСТОЯННЫЙ;A; loc sg plen f -;;;человек который в постоянной учебе теряет ,;й;о;н;н;я;о;Й;ПОСТОЯННЫЙ;A;- ins sg plen f -
47338;;этих;ЭТОТ;PRO;- gen pl plen - -;;;от всяких вот этих вот поддерживающих твою;х;и;т;э;;;Т;ЭТОТ;A;- gen pl plen - -
47593;;когнитивной;КОГНИТИВНЫЙ;A;- ins sg plen f -;;;: позанималась  когнитивной наукой  ,;й;о;н;в;и;т;Й;КОГНИТИВНЫЙ;A;- ins sg plen f -
46608;;и;И;CONJ;CONJ;;;"будет общество сдавать и такая тип 	";и;;;;;;И;И;CONJ;CONJ
46609;;такая;ТАКОЙ;APRO;- nom sg plen f -;;;"общество сдавать и такая тип 	 общество";я;а;к;а;т;;Й;ТАКОЙ;A;- nom sg plen f -
46610;;тип;ТИП;PART;PART;;;"сдавать и такая тип 	 общество !";п;и;т;;;;П;ТИП;S;m inan nom sg
46611;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
47631;;загруженным;ЗАГРУЗИТЬ;A;pf praet ins pl plen - pass -;;;курс будет очень загруженным , но пока;м;ы;н;н;е;ж;Ь;ЗАГРУЗИТЬ;PARTCP;pf praet dat pl plen - pass -
46613;;!;!;PUNCT;;;;;!;;;;;;!;!;!;!
46614;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
46615;;.;.;PUNCT;SENT;;;"общество ! 	 .  А потом";.;;;;;;.;.;SENT;SENT
46616;;;;;;;;;;;;;;;;;;
46617;;А;А;CONJ;CONJ;;;"	 .  А потом оказалось ,";А;;;;;;А;А;CONJ;CONJ
46618;;потом;ПОТОМ;ADVPRO;-;;;.  А потом оказалось , что;м;о;т;о;п;;М;ПОТОМ;ADV;-
47665;;запарный;ЗАПАРНЫЙ;A;nom sg plen m -;;;очень такой , запарный , но на;й;ы;н;р;а;п;Й;ЗАПАРНЫЙ;A;- gen sg plen m -
46620;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46621;;что;ЧТО;CONJ;CONJ;;;потом оказалось , что нужна биология ,;о;т;ч;;;;О;ЧТО;CONJ;CONJ
47684;;никаких;НИКАКОЙ;A;- gen pl plen - -;;;плане , нет никаких девяти пар в;х;и;к;а;к;и;Й;НИКАКОЙ;A;- gen pl plen - -
47736;;Большая;БОЛЬШОЙ;A;supr nom sg plen f -;;;" : 	 Большая трагедия это то";я;а;ш;ь;л;о;Й;БОЛЬШОЙ;A;- nom sg plen f -
46624;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46625;;и;И;CONJ;CONJ;;;нужна биология , и я начала ботать;и;;;;;;И;И;CONJ;CONJ
47443;;свои;СВОЙ;APRO; acc pl plen - inan;;;Потом я возобновила свои тренировки , начала;и;о;в;с;;;Й;СВОЙ;A;- acc pl plen - inan
47470;;таком;ТАКОЙ;APRO;- loc sg plen m -;;;жить вот в таком ритме и иногда;м;о;к;а;т;;Й;ТАКОЙ;A;- loc sg plen m -
47775;;съедобного;СЪЕДОБНЫЙ;A;- gen sg plen m -;;;хоть до чего-то съедобного , более или;о;г;о;н;б;о;Й;СЪЕДОБНЫЙ;A;- gen sg plen m -
47795;;сложно;СЛОЖНЫЙ;ADV ;- - sg brev n -;;;и это очень сложно .  Раньше;о;н;ж;о;л;с;Й;СЛОЖНЫЙ;A;- - sg brev n -
46630;;.;.;PUNCT;SENT;;;начала ботать биологию .  А потом;.;;;;;;.;.;SENT;SENT
46631;;;;;;;;;;;;;;;;;;
46632;;А;А;CONJ;CONJ;;;биологию .  А потом мой ;А;;;;;;А;А;CONJ;CONJ
46633;;потом;ПОТОМ;ADVPRO;-;;;.  А потом мой  всезнающий;м;о;т;о;п;;М;ПОТОМ;ADV;-
46634;;мой;МОЙ;APRO; - sg m -;;; А потом мой  всезнающий ;й;о;м;;;;Й;МОЙ;A;- nom sg plen m -
46635;"<distinct form=""всепрошаренный"">";;;;;;;;;;;;;;;;;
47540;;такой;ТАКОЙ;APRO;- nom sg plen m -;;;но  я такой человек который в;й;о;к;а;т;;Й;ТАКОЙ;A;- nom sg plen m -
46637;</distinct>;;;;;;;;;;;;;;;;;
47817;;микроволновая;МИКРОВОЛНОВЫЙ;A;- nom sg plen f -;;;Текстильщиках была  микроволновая печь  ,;я;а;в;о;н;л;Й;МИКРОВОЛНОВЫЙ;A;- nom sg plen f -
47831;;микроволновой;МИКРОВОЛНОВЫЙ;A;- gen sg plen f -;;;здесь нет  микроволновой печи  ,;й;о;в;о;н;л;Й;МИКРОВОЛНОВЫЙ;A;- gen sg plen f -
47550;;самого;САМ;APRO;- gen sg plen m -;;;, как бы , самого себя , теряет;о;г;о;м;а;с;М;САМ;A;- gen sg plen m -
46641;"<distinct form=""вэпэша"">";;;;;;;;;;;;;;;;;
46642;;про;ПРО;PR;;;;папа рассказал мне про ВПШ  .;о;р;п;;;;О;ПРО;PR;
47554;;свое;СВОЙ;APRO;acc sg plen n -;;;себя , теряет свое хобби , теряет;е;о;в;с;;;Й;СВОЙ;A;- nom sg plen n -
46644;</distinct>;;;;;;;;;;;;;;;;;
46645;;.;.;PUNCT;SENT;;;про ВПШ  .  Да ,;.;;;;;;.;.;SENT;SENT
46646;;;;;;;;;;;;;;;;;;
46647;;Да;ДА;CONJ;CONJ;;; .  Да , мне папа;а;Д;;;;;А;ДА;CONJ;CONJ
46648;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
47558;;свою;СВОЙ;APRO;- acc sg plen f -;;;хобби , теряет свою индивидуальность , ты;ю;о;в;с;;;Й;СВОЙ;A;- acc sg plen f -
47839;;холодные;ХОЛОДНЫЙ;A;- acc pl plen - inan;;;я не люблю холодные макароны , или;е;ы;н;д;о;л;Й;ХОЛОДНЫЙ;A;- acc pl plen - inan
47843;;холодный;ХОЛОДНЫЙ;A;acc sg plen m -;;;макароны , или холодный рис , или;й;ы;н;д;о;л;Й;ХОЛОДНЫЙ;A;- nom sg plen m -
46652;"<distinct form=""вэпэша"">";;;;;;;;;;;;;;;;;
46653;;про;ПРО;PR;;;;мне папа рассказал про ВПШ  ,;о;р;п;;;;О;ПРО;PR;
47847;;холодную;ХОЛОДНЫЙ;A;- acc sg plen f -;;;рис , или холодную курицу , это;ю;у;н;д;о;л;Й;ХОЛОДНЫЙ;A;- acc sg plen f -
46655;</distinct>;;;;;;;;;;;;;;;;;
46656;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46657;;и;И;CONJ;CONJ;;;"ВПШ  , и такой тип 	";и;;;;;;И;И;CONJ;CONJ
46658;;такой;ТАКОЙ;APRO;- nom sg plen m -;;;" , и такой тип 	 ты";й;о;к;а;т;;Й;ТАКОЙ;A;- nom sg plen m -
46659;;тип;ТИП;PART;PART;;;", и такой тип 	 ты не";п;и;т;;;;П;ТИП;S;m inan nom sg
46660;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
47636;;таким;ТАКОЙ;APRO;- ins sg plen m -;;;но пока он таким не выглядит ,;м;и;к;а;т;;Й;ТАКОЙ;A;- ins sg plen m -
46662;;не;НЕ;PART;PART;;;"тип 	 ты не хочешь съездить ,";е;н;;;;;Е;НЕ;PART;PART
47861;;какими-то;КАКОЙ-ТО;APRO;- ins pl plen - -;;;И поэтому приходится какими-то мелкими перебежками бегать;о;т;-;и;м;и;О;КАКОЙ-ТО;A;- ins pl plen - -
47862;;мелкими;МЕЛКИЙ;A;- ins pl plen - -;;;поэтому приходится какими-то мелкими перебежками бегать то;и;м;и;к;л;е;Й;МЕЛКИЙ;A;- ins pl plen - -
46665;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
47663;;такой;ТАКОЙ;APRO;- nom sg plen m -;;;курс будет очень такой , запарный ,;й;о;к;а;т;;Й;ТАКОЙ;A;- nom sg plen m -
46667;;?;?;PUNCT;;;;;?;;;;;;?;?;?;?
46668;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
46669;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
47919;;всякие;ВСЯКИЙ;A;- acc pl plen - inan;;; организовывать  всякие  клевые ;е;и;к;я;с;в;Й;ВСЯКИЙ;A;- acc pl plen - inan
46671;;такая;ТАКОЙ;APRO;- nom sg plen f -;;;"	 , я такая 	 хочу 	";я;а;к;а;т;;Й;ТАКОЙ;A;- nom sg plen f -
46672;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
47921;;клевые;КЛЕВЫЙ;A;- acc pl plen - inan;;; всякие  клевые  мероприятия ,;е;ы;в;е;л;к;Й;КЛЕВЫЙ;A;- acc pl plen - inan
46674;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
46675;;.;.;PUNCT;SENT;;;"	 хочу 	 .  Написала заявку";.;;;;;;.;.;SENT;SENT
46676;;;;;;;;;;;;;;;;;;
47702;;такого;ТАКОЙ;APRO;- gen sg plen m -;;;, нет , такого нет . ;о;г;о;к;а;т;Й;ТАКОЙ;A;- gen sg plen m -
47936;;всяких;ВСЯКИЙ;A;- gen pl plen - -;;;знаю , еще всяких крутых штучек ,;х;и;к;я;с;в;Й;ВСЯКИЙ;A;- gen pl plen - -
46679;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
47730;;такая;ТАКОЙ;APRO;- nom sg plen f -;;;?  Не такая трагедия.  ;я;а;к;а;т;;Й;ТАКОЙ;A;- nom sg plen f -
46681;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46682;;что;ЧТО;CONJ;CONJ;;;, оказалось , что обычно одиннадцатиклассников не;о;т;ч;;;;О;ЧТО;CONJ;CONJ
46683;;обычно;ОБЫЧНО;ADV;-;;;оказалось , что обычно одиннадцатиклассников не берут;о;н;ч;ы;б;о;О;ОБЫЧНО;ADV;-
47937;;крутых;КРУТОЙ;A;- gen pl plen - -;;;, еще всяких крутых штучек , и;х;ы;т;у;р;к;Й;КРУТОЙ;A;- gen pl plen - -
46685;;не;НЕ;PART;PART;;;что обычно одиннадцатиклассников не берут , но;е;н;;;;;Е;НЕ;PART;PART
47946;;неотъемлемая;НЕОТЪЕМЛЕМЫЙ;A;- nom sg plen f -;;;, что это неотъемлемая часть студенческой жизни;я;а;м;е;л;м;Й;НЕОТЪЕМЛЕМЫЙ;A;- nom sg plen f -
46687;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46688;;но;НО;CONJ;CONJ;;;не берут , но меня взяли ,;о;н;;;;;О;НО;CONJ;CONJ
47948;;студенческой;СТУДЕНЧЕСКИЙ;A;- gen sg plen f -;;;это неотъемлемая часть студенческой жизни потому ,;й;о;к;с;е;ч;Й;СТУДЕНЧЕСКИЙ;A;- gen sg plen f -
47980;;никаких;НИКАКОЙ;A;- gen pl plen - -;;;у тебя нет никаких воспоминаний , вот;х;и;к;а;к;и;Й;НИКАКОЙ;A;- gen pl plen - -
46691;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46692;;и;И;CONJ;CONJ;;;"меня взяли , и я такая 	";и;;;;;;И;И;CONJ;CONJ
47985;;живых;ЖИВОЙ;A;gen pl plen - -;;;, вот каких-то живых .  А;х;ы;в;и;ж;;Й;ЖИВОЙ;A;- loc pl plen - -
46694;;такая;ТАКОЙ;APRO;- nom sg plen f -;;;", и я такая 	 ура ";я;а;к;а;т;;Й;ТАКОЙ;A;- nom sg plen f -
46695;"<distinct form=""урааа"">";"	";;;;;;;;;;;;;;;;
46696;;ура;УРА;INTJ;INTJ;;;"я такая 	 ура  ! 	";а;р;у;;;;А;УРА;INTJ;INTJ
46697;</distinct>;;;;;;;;;;;;;;;;;
46698;;!;!;PUNCT;;;;;!;;;;;;!;!;!;!
46699;;"	";"	";PUNCT;;;;;"	";;;;;;"	";_;_;0
46700;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46701;;и;И;CONJ;CONJ;;;"! 	 , и прямо перед ,";и;;;;;;И;И;CONJ;CONJ
46702;;прямо;ПРЯМО;PART;PART;;;"	 , и прямо перед , ну";о;м;я;р;п;;О;ПРЯМО;PART;PART
46703;;перед;ПЕРЕД;PR;PR;;;, и прямо перед , ну ,;д;е;р;е;п;;Д;ПЕРЕД;PR;PR
46704;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46705;;ну;НУ;PART;PART;;;прямо перед , ну , в вес..;у;н;;;;;У;НУ;PART;PART
46706;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46707;;в;В;PR;PR;;;, ну , в вес.. в весенние;в;;;;;;В;В;PR;PR
46708;;вес;ВЕС;NONLEX;NONLEX;слитно;;ну , в вес.. в весенние каникулы;.;.;с;е;в;;С;ВЕС..;S;m inan gen sg
46709;;в;В;PR;PR;;;, в вес.. в весенние каникулы ,;в;;;;;;В;В;PR;PR
47996;;учебную;УЧЕБНЫЙ;A;- acc sg plen f -;;;свою вот эту учебную жизнь какими-то активностями;ю;у;н;б;е;ч;Й;УЧЕБНЫЙ;A;- acc sg plen f -
48129;;интересный;ИНТЕРЕСНЫЙ;A;- nom sg plen m -;;;что материал реально интересный , ты прям;й;ы;н;с;е;р;Й;ИНТЕРЕСНЫЙ;A;- nom sg plen m -
46712;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46713;;в;В;PR;PR;;;весенние каникулы , в общем , я;в;;;;;;В;В;PR;PR
